epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.851,1.47466,2.11775,1.5981,0.46534,0.48626,0.43102,0.1898,1.75937,2.07334,1.99654,0.00055498,0.00055498,0.00055498
2,526.393,1.54725,1.8948,1.65859,0.4749,0.48639,0.44774,0.21565,1.68593,2.00243,1.90898,0.00105567,0.00105567,0.00105567
3,788.073,1.55216,1.85659,1.66301,0.52292,0.51257,0.50066,0.24906,1.63192,1.81245,1.83918,0.00150135,0.00150135,0.00150135
4,1045.96,1.49953,1.77154,1.63438,0.58657,0.5453,0.55141,0.28184,1.57124,1.68213,1.8152,0.00141945,0.00141945,0.00141945
5,1302.44,1.45377,1.6821,1.58751,0.54142,0.56835,0.5358,0.27807,1.54495,1.68132,1.77719,0.00133693,0.00133693,0.00133693
6,1561.62,1.41441,1.60908,1.55785,0.65588,0.61836,0.65295,0.35823,1.48146,1.41857,1.71563,0.00125442,0.00125442,0.00125442
7,1821.4,1.38755,1.54562,1.54145,0.66013,0.63909,0.65211,0.36787,1.43144,1.38219,1.67432,0.0011719,0.0011719,0.0011719
8,2073.25,1.34948,1.49005,1.5138,0.68305,0.64895,0.67911,0.38404,1.44905,1.33203,1.68301,0.00108938,0.00108938,0.00108938
9,2326.87,1.33182,1.45398,1.50068,0.67669,0.64129,0.67787,0.40072,1.38208,1.299,1.62394,0.00100687,0.00100687,0.00100687
10,2576.83,1.31065,1.41021,1.48196,0.69314,0.6673,0.70523,0.42292,1.33009,1.22015,1.58632,0.000924352,0.000924352,0.000924352
11,2820.7,1.30113,1.2466,1.54722,0.71171,0.68323,0.71602,0.43062,1.3276,1.21092,1.5781,0.000841835,0.000841835,0.000841835
12,3068.18,1.26365,1.1776,1.52379,0.70512,0.69703,0.72812,0.44753,1.28748,1.16846,1.55387,0.000759318,0.000759318,0.000759318
13,3314.32,1.22923,1.13203,1.49754,0.71796,0.68535,0.73235,0.45464,1.26788,1.14104,1.5318,0.000676802,0.000676802,0.000676802
14,3560.04,1.20093,1.07797,1.46896,0.74238,0.69185,0.74414,0.46383,1.26536,1.10014,1.52501,0.000594286,0.000594286,0.000594286
15,3805.01,1.17613,1.04485,1.45092,0.73148,0.72284,0.75631,0.47669,1.25162,1.04076,1.52067,0.000511769,0.000511769,0.000511769
16,4044.64,1.14807,1.00849,1.42877,0.75757,0.72779,0.77168,0.49339,1.22341,0.9973,1.49358,0.000429253,0.000429253,0.000429253
17,4279.85,1.1206,0.97162,1.40573,0.75834,0.73001,0.77054,0.50049,1.20299,0.99641,1.47761,0.000346736,0.000346736,0.000346736
18,4517.5,1.09299,0.93494,1.38557,0.75629,0.73589,0.77212,0.50239,1.19871,0.97726,1.47587,0.00026422,0.00026422,0.00026422
19,4753.99,1.06963,0.9043,1.36376,0.75957,0.73811,0.77701,0.50694,1.1848,0.97042,1.46478,0.000181703,0.000181703,0.000181703
20,4989.76,1.04913,0.87744,1.35064,0.76323,0.74396,0.78088,0.51416,1.17262,0.94712,1.45139,9.91865e-05,9.91865e-05,9.91865e-05
