epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.106,1.36069,2.8117,1.59064,0.33538,0.28292,0.25959,0.14208,1.65114,3.44098,2.02017,0.000369509,0.000369509,0.000369509
2,288.668,1.4176,2.35897,1.6442,0.46711,0.31277,0.31975,0.17677,1.77933,2.69119,2.07904,0.00070322,0.00070322,0.00070322
3,426.509,1.45915,2.25453,1.67173,0.34322,0.33012,0.26207,0.14475,1.74912,2.98755,2.05521,0.00100027,0.00100027,0.00100027
4,565.987,1.42076,2.14675,1.64183,0.44835,0.37009,0.35866,0.20893,1.64047,3.12754,1.98682,0.000946016,0.000946016,0.000946016
5,703.46,1.38992,2.01751,1.61519,0.52252,0.3968,0.42687,0.25358,1.59004,2.1965,1.87911,0.000891022,0.000891022,0.000891022
6,841.318,1.33336,1.93024,1.57888,0.53664,0.41767,0.44043,0.26639,1.55099,2.09638,1.85936,0.000836027,0.000836027,0.000836027
7,978.531,1.2871,1.78509,1.53118,0.60739,0.49104,0.53067,0.34047,1.48979,1.77321,1.82149,0.000781033,0.000781033,0.000781033
8,1113.35,1.27602,1.7408,1.51728,0.61526,0.48684,0.54295,0.35012,1.45934,1.72163,1.75078,0.000726038,0.000726038,0.000726038
9,1253.84,1.24984,1.66486,1.50056,0.61299,0.5412,0.57754,0.36903,1.42186,1.68491,1.69702,0.000671044,0.000671044,0.000671044
10,1393.34,1.21329,1.58557,1.47346,0.66457,0.52807,0.58812,0.37463,1.43133,1.54749,1.74818,0.000616049,0.000616049,0.000616049
11,1523,1.22943,1.45282,1.53364,0.70574,0.54751,0.61574,0.41062,1.33399,1.51629,1.65269,0.000561055,0.000561055,0.000561055
12,1653.17,1.18043,1.34619,1.48904,0.70827,0.5636,0.63857,0.42415,1.35777,1.43333,1.67535,0.00050606,0.00050606,0.00050606
13,1785.25,1.15286,1.26315,1.46473,0.69518,0.58865,0.65786,0.43696,1.31674,1.38848,1.61301,0.000451066,0.000451066,0.000451066
14,1916.79,1.12431,1.21333,1.43468,0.74805,0.59533,0.67391,0.45799,1.28556,1.31623,1.59902,0.000396071,0.000396071,0.000396071
15,2044.32,1.09052,1.14535,1.41047,0.75737,0.6163,0.69453,0.46989,1.27704,1.26545,1.58251,0.000341077,0.000341077,0.000341077
16,2170.94,1.06405,1.09877,1.3837,0.73976,0.63205,0.70655,0.48321,1.25482,1.23354,1.55862,0.000286083,0.000286083,0.000286083
17,2299.76,1.03687,1.03127,1.36042,0.76002,0.64075,0.71444,0.49024,1.24677,1.2186,1.55933,0.000231088,0.000231088,0.000231088
18,2427.41,1.01011,0.98444,1.33788,0.76457,0.62831,0.71278,0.49054,1.25313,1.20477,1.5575,0.000176094,0.000176094,0.000176094
19,2554.68,0.98935,0.952,1.32821,0.80179,0.63491,0.74094,0.50387,1.2377,1.142,1.54133,0.000121099,0.000121099,0.000121099
20,2680.65,0.9768,0.92248,1.31299,0.78126,0.65745,0.74744,0.51418,1.21881,1.0987,1.52136,6.61045e-05,6.61045e-05,6.61045e-05
